Date,Name,Year,Letterboxd URI,Genre,Director,Writer,Actors,Language,Country,Poster
2024-11-03,The Silence of the Lambs,1991,https://boxd.it/2aHW,"Crime, Drama, Horror",Jonathan Demme,"Thomas Harris, Ted Tally","Jodie Foster, Anthony Hopkins, Scott Glenn","English, Latin",United States,https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Psycho,1960,https://boxd.it/2ab2,"Drama, Horror, Mystery",Alfred Hitchcock,"Joseph Stefano, Robert Bloch","Anthony Perkins, Janet Leigh, Vera Miles",English,United States,https://m.media-amazon.com/images/M/MV5BYjZhMzFiZjItODA3ZC00MmRhLWIzMGYtMmVjOWUwYTA3MTRjXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Sunset Boulevard,1950,https://boxd.it/2a20,"Drama, Film-Noir",Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim",English,United States,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg
2024-11-03,Gladiator,2000,https://boxd.it/2b9m,"Action, Adventure, Drama",Ridley Scott,"David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen",English,"United States, United Kingdom, Malta, Morocco",https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Léon: The Professional,1994,https://boxd.it/2b8S,"Action, Crime, Drama",Luc Besson,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman","English, Italian, French","France, United States",https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,The Pianist,2002,https://boxd.it/2aqc,"Biography, Drama, Music",Roman Polanski,"Ronald Harwood, Wladyslaw Szpilman","Adrien Brody, Emilia Fox, Michal Zebrowski","English, German, Russian","France, Poland, Germany, United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMjEwNmEwYjgtNTk3ZC00NjljLTg5ZDctZTY3ZGQwZjRkZmQxXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,The Great Escape,1963,https://boxd.it/22kA,"Adventure, Drama, Thriller",John Sturges,"Paul Brickhill, James Clavell, W.R. Burnett","Steve McQueen, James Garner, Richard Attenborough","English, German, French, Russian, Spanish",United States,https://m.media-amazon.com/images/M/MV5BMDRhNmJjMzEtMWU5MC00YmEyLTg3ZmYtNzYxZTI1ZGU4ZjI1XkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Apocalypse Now,1979,https://boxd.it/6ZS,"Drama, Mystery, War",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr","Marlon Brando, Martin Sheen, Robert Duvall","English, French, Vietnamese",United States,https://m.media-amazon.com/images/M/MV5BZDhiMTljYjYtODc1Yy00MmEwLTg2OTYtYmE1YTRmNDE4MmEwXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Citizen Kane,1941,https://boxd.it/71O,"Drama, Mystery",Orson Welles,"Herman J. Mankiewicz, Orson Welles, John Houseman","Orson Welles, Joseph Cotten, Dorothy Comingore","English, Italian",United States,https://m.media-amazon.com/images/M/MV5BYjk1ZDJlMmUtOWQ0Zi00MDM5LTk1OGYtODczNjFmMGYwZGVkXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,Vertigo,1958,https://boxd.it/2apI,"Mystery, Romance, Thriller",Alfred Hitchcock,"Alec Coppel, Samuel A. Taylor, Pierre Boileau","James Stewart, Kim Novak, Barbara Bel Geddes",English,United States,https://m.media-amazon.com/images/M/MV5BNzEyZTUxMWItMGVhYy00Y2NlLTljYTMtYzBmMzI1YmUyMDBkXkEyXkFqcGc@._V1_SX300.jpg
2024-11-03,The Hunt,2012,https://boxd.it/3wEC,Drama,Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp","Danish, English, Polish","Denmark, Sweden, Belgium, France",https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg
2024-11-03,Django Unchained,2012,https://boxd.it/2cCk,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","English, German, French, Italian",United States,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg
2024-11-04,Love Lies Bleeding,2024,https://boxd.it/zN4q,"Crime, Drama, Mystery",Rose Glass,"Rose Glass, Weronika Tofilska","Anna Baryshnikov, Kristen Stewart, Dave Franco",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNWUxZTliMDgtOWVkZS00MjkwLWI5ZWUtNTZmMjhlYTFlN2I5XkEyXkFqcGc@._V1_SX300.jpg
2024-11-09,Taxi Driver,1976,https://boxd.it/2b8y,"Crime, Drama",Martin Scorsese,Paul Schrader,"Robert De Niro, Jodie Foster, Cybill Shepherd","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_SX300.jpg
2024-11-09,Casino,1995,https://boxd.it/2ads,"Crime, Drama",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","Robert De Niro, Sharon Stone, Joe Pesci",English,"United States, France",https://m.media-amazon.com/images/M/MV5BMDRlZWZjZjYtYzY2NS00ZWVjLTkwYzAtZTA2ZDAzMGRiYmYwXkEyXkFqcGc@._V1_SX300.jpg
2024-11-09,Reservoir Dogs,1992,https://boxd.it/2agc,"Crime, Thriller",Quentin Tarantino,"Quentin Tarantino, Roger Avary","Harvey Keitel, Tim Roth, Michael Madsen",English,United States,https://m.media-amazon.com/images/M/MV5BMmMzYjg4NDctYWY0Mi00OGViLWIzMTMtYWNlZGY5ZDJmYjk3XkEyXkFqcGc@._V1_SX300.jpg
2024-11-10,The Celebration,1998,https://boxd.it/2aCM,Drama,Thomas Vinterberg,"Thomas Vinterberg, Mogens Rukov","Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen","Danish, German, English","Denmark, Sweden",https://m.media-amazon.com/images/M/MV5BODNkY2VkOTktYTZlYy00OGJjLWEyZjMtZDAyZjljMTNlNmVmXkEyXkFqcGc@._V1_SX300.jpg
2024-11-11,Moonlight,2016,https://boxd.it/d6bE,Drama,Barry Jenkins,"Barry Jenkins, Tarell Alvin McCraney","Mahershala Ali, Naomie Harris, Trevante Rhodes",English,United States,https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg
2024-11-11,Hereditary,2018,https://boxd.it/hNVe,"Drama, Horror, Mystery",Ari Aster,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNTEyZGQwODctYWJjZi00NjFmLTg3YmEtMzlhNjljOGZhMWMyXkEyXkFqcGc@._V1_SX300.jpg
2024-11-17,Horizon: An American Saga - Chapter 2,2024,https://boxd.it/GnFu,"Drama, Western",Kevin Costner,"Jon Baird, Kevin Costner","Todd Allen, Arthur Anderson, Austin Archer",English,United States,https://m.media-amazon.com/images/M/MV5BMDg1OWI3NTYtY2IwMy00NmQ4LTk5YWUtZmViNmU5YTFkNGU5XkEyXkFqcGc@._V1_SX300.jpg
2024-11-18,Nymphomaniac: Vol. I,2013,https://boxd.it/7DiG,Drama,Lars von Trier,Lars von Trier,"Charlotte Gainsbourg, Stellan Skarsgård, Stacy Martin",English,"Denmark, Germany, Belgium, United Kingdom, France, Sweden, United States",https://m.media-amazon.com/images/M/MV5BMjA3Njc5MjI5Ml5BMl5BanBnXkFtZTgwNTY3Mjg3MDE@._V1_SX300.jpg
2024-11-20,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,"Comedy, Drama, Musical","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Jack London","Tim Blake Nelson, Willie Watson, Clancy Brown","English, French",United States,https://m.media-amazon.com/images/M/MV5BOTc0MzZjYTktYzBlZC00MmViLTgyNDYtNjljNTcxMzdjODRkXkEyXkFqcGc@._V1_SX300.jpg
2024-11-23,Gladiator II,2024,https://boxd.it/kqQQ,"Action, Adventure, Drama",Ridley Scott,"David Franzoni, Peter Craig, David Scarpa","Paul Mescal, Denzel Washington, Pedro Pascal","English, Latin","United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BMWYzZTM5ZGQtOGE5My00NmM2LWFlMDEtMGNjYjdmOWM1MzA1XkEyXkFqcGc@._V1_SX300.jpg
2024-11-23,A Real Pain,2024,https://boxd.it/CjNG,"Comedy, Drama",Jesse Eisenberg,Jesse Eisenberg,"Kieran Culkin, Jesse Eisenberg, Olha Bosova","English, Polish","United States, Poland",https://m.media-amazon.com/images/M/MV5BODY2YWYwM2YtZTVlNC00MjgyLTgzYTgtNmFmYWE5ZmY1MDM5XkEyXkFqcGc@._V1_SX300.jpg
2024-12-01,The Menu,2022,https://boxd.it/lScm,"Comedy, Horror, Thriller",Mark Mylod,"Seth Reiss, Will Tracy","Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BN2Q0YWE1MjktODJlMi00NTRiLWI2ZTctZTAxNjkyODVjM2EyXkEyXkFqcGc@._V1_SX300.jpg
2024-12-01,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,"Comedy, Drama",Alejandro G. Iñárritu,"Alejandro G. Iñárritu, Nicolás Giacobone, Alexander Dinelaris","Michael Keaton, Zach Galifianakis, Edward Norton",English,United States,https://m.media-amazon.com/images/M/MV5BODAzNDMxMzAxOV5BMl5BanBnXkFtZTgwMDMxMjA4MjE@._V1_SX300.jpg
2024-12-02,Space Cowboys,2000,https://boxd.it/22W0,"Action, Adventure, Thriller",Clint Eastwood,"Ken Kaufman, Howard Klausner","Clint Eastwood, Tommy Lee Jones, Donald Sutherland",English,United States,https://m.media-amazon.com/images/M/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_SX300.jpg
2024-12-05,RoboCop,1987,https://boxd.it/22Wu,"Action, Crime, Sci-Fi",Paul Verhoeven,"Edward Neumeier, Michael Miner","Peter Weller, Nancy Allen, Dan O'Herlihy",English,United States,https://m.media-amazon.com/images/M/MV5BZWM1YzRhODktZDE1MC00NzBlLTk0NGMtOGNhZDQyMmJiZGFiXkEyXkFqcGc@._V1_SX300.jpg
2024-12-25,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,"Action, Adventure, Comedy",Jeff Fowler,"Pat Casey, Josh Miller, John Whittington","Jim Carrey, Ben Schwartz, Keanu Reeves","English, Spanish, Japanese, French","United States, Japan",https://m.media-amazon.com/images/M/MV5BMjZjNjE5NDEtOWJjYS00Mjk2LWI1ZDYtOWI1ZWI3MzRjM2UzXkEyXkFqcGc@._V1_SX300.jpg
2024-12-27,Die Hard,1988,https://boxd.it/2a7u,"Action, Thriller",John McTiernan,"Roderick Thorp, Jeb Stuart, Steven E. de Souza","Bruce Willis, Alan Rickman, Bonnie Bedelia","English, German, Italian, Japanese",United States,https://m.media-amazon.com/images/M/MV5BMGNlYmM1NmQtYWExMS00NmRjLTg5ZmEtMmYyYzJkMzljYWMxXkEyXkFqcGc@._V1_SX300.jpg
2025-01-03,Basic Instinct,1992,https://boxd.it/2asM,"Drama, Mystery, Romance",Paul Verhoeven,Joe Eszterhas,"Michael Douglas, Sharon Stone, George Dzundza","English, Spanish","France, United States",https://m.media-amazon.com/images/M/MV5BZWYwYmQzYTctMjg5Ni00NWZkLWI5NzItZGFjMDM2NDkyNGZlXkEyXkFqcGc@._V1_SX300.jpg
2025-01-04,The Deer Hunter,1978,https://boxd.it/1T6O,"Drama, War",Michael Cimino,"Michael Cimino, Deric Washburn, Louis Garfinkle","Robert De Niro, John Cazale, John Savage","English, Vietnamese, French, Russian, Cantonese","United States, United Kingdom",https://m.media-amazon.com/images/M/MV5BZGI4YmVhMzMtMWExMS00MGZiLTg2MmItM2I2MWZjODAyM2U5XkEyXkFqcGc@._V1_SX300.jpg
2025-01-04,Million Dollar Baby,2004,https://boxd.it/2bdI,"Drama, Sport",Clint Eastwood,"Paul Haggis, F.X. Toole","Hilary Swank, Clint Eastwood, Morgan Freeman","English, Irish Gaelic, German",United States,https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX300.jpg
2025-01-04,Juror #2,2024,https://boxd.it/FRwU,"Crime, Drama, Mystery",Clint Eastwood,Jonathan A. Abrams,"Nicholas Hoult, Toni Collette, J.K. Simmons",English,United States,https://m.media-amazon.com/images/M/MV5BMjM4YjA1NTItOWI3Ni00MzAwLThmMjMtNmM2MWY2Y2ZmOGIzXkEyXkFqcGc@._V1_SX300.jpg
2025-01-16,Babygirl,2024,https://boxd.it/Fvai,"Drama, Romance, Thriller",Halina Reijn,Halina Reijn,"Nicole Kidman, Harris Dickinson, Antonio Banderas",English,"Netherlands, United States",https://m.media-amazon.com/images/M/MV5BMmUwODYwODAtYWZkZS00YmUwLWFmMWEtOGNjMjE2NDk3OWIwXkEyXkFqcGc@._V1_SX300.jpg
2025-01-24,Blade Runner,1982,https://boxd.it/2bcA,"Action, Drama, Sci-Fi",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean","United States, United Kingdom, Hong Kong",https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_SX300.jpg
2025-01-24,Blade Runner 2049,2017,https://boxd.it/b8wK,"Action, Drama, Mystery",Denis Villeneuve,"Hampton Fancher, Michael Green, Philip K. Dick","Harrison Ford, Ryan Gosling, Ana de Armas",English,"United States, Canada, Spain",https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_SX300.jpg
2025-01-25,Falsa Loura,2007,https://boxd.it/5eHM,"Comedy, Drama",Carlos Reichenbach,Carlos Reichenbach,"Rosanne Mulholland, Cauã Reymond, Maurício Mattar",Portuguese,Brazil,https://m.media-amazon.com/images/M/MV5BZGE4NWVkYmYtOWUwNy00ZGRmLWI5NGMtN2VkYjQyYjQ3MGFjXkEyXkFqcGc@._V1_SX300.jpg
2025-01-26,Jackie Brown,1997,https://boxd.it/2aVO,"Crime, Drama, Thriller",Quentin Tarantino,"Quentin Tarantino, Elmore Leonard","Pam Grier, Samuel L. Jackson, Robert Forster","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BZmUxZjY3MDktNGI5NS00MTQ5LWE0YWItZWQzNmZhNjhkZDYyXkEyXkFqcGc@._V1_SX300.jpg
2025-01-27,Mulholland Drive,2001,https://boxd.it/297o,"Drama, Mystery, Thriller",David Lynch,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux","English, Spanish, French","France, United States",https://m.media-amazon.com/images/M/MV5BNjliY2UwMjQtYjVlNi00NzExLTg1MDMtMjE2OTYwYjI0NTcxXkEyXkFqcGc@._V1_SX300.jpg
2025-01-31,Zodiac,2007,https://boxd.it/27MO,"Crime, Drama, Mystery",David Fincher,"James Vanderbilt, Robert Graysmith","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo",English,United States,https://m.media-amazon.com/images/M/MV5BNDFkMTRkZmQtM2I0NC00NjJjLWJlMDctNTNiZWYxYzhjZDZiXkEyXkFqcGc@._V1_SX300.jpg
2025-01-31,The Game,1997,https://boxd.it/26vC,"Drama, Mystery, Thriller",David Fincher,"John Brancato, Michael Ferris","Michael Douglas, Deborah Kara Unger, Sean Penn","English, Cantonese, German, Spanish, Thai",United States,https://m.media-amazon.com/images/M/MV5BNGUzNzQwNmMtNzI3Mi00ZDIwLWJlM2ItMTA5N2Q2ZDMxMjJiXkEyXkFqcGc@._V1_SX300.jpg
2025-01-31,The Apartment,1960,https://boxd.it/2aGE,"Comedy, Drama, Romance",Billy Wilder,"Billy Wilder, I.A.L. Diamond","Jack Lemmon, Shirley MacLaine, Fred MacMurray",English,United States,https://m.media-amazon.com/images/M/MV5BNDdhMzVhOWQtNDU2Mi00ZmZmLWJiZDMtY2QxMjhjY2Y1ZTI5XkEyXkFqcGc@._V1_SX300.jpg
2025-02-04,Companion,2025,https://boxd.it/F04o,"Sci-Fi, Thriller",Drew Hancock,Drew Hancock,"Sophie Thatcher, Jack Quaid, Lukas Gage",English,United States,https://m.media-amazon.com/images/M/MV5BYjkyZTA5NzAtYWU3Zi00MWM4LTgxNzAtNDQxY2JmNjMwYjk4XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,The Batman,2022,https://boxd.it/eDGs,"Action, Crime, Drama",Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Robert Pattinson, Zoë Kravitz, Jeffrey Wright","English, Spanish, Latin, Italian",United States,https://m.media-amazon.com/images/M/MV5BMmU5NGJlMzAtMGNmOC00YjJjLTgyMzUtNjAyYmE4Njg5YWMyXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Rocky II,1979,https://boxd.it/28Ua,"Drama, Sport",Sylvester Stallone,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young","English, Italian",United States,https://m.media-amazon.com/images/M/MV5BMDUxMWExZDctZTk4Zi00ZDFiLTgwYWUtNjEyYzA0NWQyYTJlXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Rocky III,1982,https://boxd.it/28Tw,"Drama, Sport",Sylvester Stallone,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young",English,United States,https://m.media-amazon.com/images/M/MV5BNDYzNDQ3Y2MtODc1Zi00ZTBkLWIzZWUtOGY0NGZmYWZhMWQ5XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Big,1988,https://boxd.it/271S,"Comedy, Drama, Fantasy",Penny Marshall,"Gary Ross, Anne Spielberg","Tom Hanks, Elizabeth Perkins, Robert Loggia","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BNzE3ZTc2ZDgtMzQ4MS00NjEyLWJkMDYtZmMzZmY5ODJhMDdmXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,The Godfather,1972,https://boxd.it/2aNK,"Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan","English, Italian, Latin",United States,https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,The Godfather Part II,1974,https://boxd.it/2aNq,"Crime, Drama",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Al Pacino, Robert De Niro, Robert Duvall","English, Italian, Spanish, Latin, Sicilian",United States,https://m.media-amazon.com/images/M/MV5BMDIxMzBlZDktZjMxNy00ZGI4LTgxNDEtYWRlNzRjMjJmOGQ1XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,The Godfather Part III,1990,https://boxd.it/2aN6,"Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Al Pacino, Diane Keaton, Talia Shire","English, Italian, German, Latin, Persian",United States,https://m.media-amazon.com/images/M/MV5BMDVjODgzNTEtNjBiNS00ODBjLWEwZjUtMDljZTFhOTA4M2MxXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Dolemite Is My Name,2019,https://boxd.it/je6E,"Biography, Comedy, Drama",Craig Brewer,"Scott Alexander, Larry Karaszewski","Eddie Murphy, Keegan-Michael Key, Mike Epps",English,United States,https://m.media-amazon.com/images/M/MV5BOTYyNGU3MDctZWU1NS00N2Y5LWE2MDUtOWFlMmVmM2IzNDQ5XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,"Drama, History, Thriller",Aaron Sorkin,Aaron Sorkin,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen","English, Latin, French","United States, United Kingdom, India",https://m.media-amazon.com/images/M/MV5BZjY2ZGFlOTgtOGQ1MS00YWJhLWIyZjQtNWNmNTQ0YTk0MTZjXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Schindler's List,1993,https://boxd.it/2aq2,"Biography, Drama, History",Steven Spielberg,"Thomas Keneally, Steven Zaillian","Liam Neeson, Ralph Fiennes, Ben Kingsley","English, Hebrew, German, Polish, Latin",United States,https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,"Comedy, Drama",Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie","English, Italian, Spanish, German","United States, United Kingdom, China",https://m.media-amazon.com/images/M/MV5BMzMzNmViNjYtN2ViNi00NDM3LWFlMmItNDYyMGIzY2EzZjE2XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,The Shining,1980,https://boxd.it/29Nu,"Drama, Horror",Stanley Kubrick,"Stephen King, Stanley Kubrick, Diane Johnson","Jack Nicholson, Shelley Duvall, Danny Lloyd",English,"United Kingdom, United States",https://m.media-amazon.com/images/M/MV5BNmM5ZThhY2ItOGRjOS00NzZiLWEwYTItNDgyMjFkOTgxMmRiXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Christine,1983,https://boxd.it/1ZRQ,"Horror, Thriller",John Carpenter,"Stephen King, Bill Phillips","Keith Gordon, John Stockwell, Alexandra Paul","English, Spanish, French",United States,https://m.media-amazon.com/images/M/MV5BYTQxZjlhNzUtMGJkMS00ODMwLWI0NzMtZGZiYzRmODE5ODI2XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Back to the Future,1985,https://boxd.it/2b8e,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson",English,United States,https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Back to the Future Part II,1989,https://boxd.it/2aYI,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson",English,United States,https://m.media-amazon.com/images/M/MV5BMTNlOTRmOTEtMTAyMi00NjFiLTk3NDMtNWI0YzA3ZTZlYjZiXkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Back to the Future Part III,1990,https://boxd.it/2aTS,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Mary Steenburgen",English,United States,https://m.media-amazon.com/images/M/MV5BNTNkNzJmY2MtOGNjYi00NDJmLWIyZTQtNmFmMGQ5M2VlOTI0XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Bad Boys,1995,https://boxd.it/1XVG,"Action, Comedy, Crime",Michael Bay,"George Gallo, Michael Barrie, Jim Mulholland","Lisa Boyle, Michael Taliferro, Emmanuel Xuereb","English, Persian",United States,https://m.media-amazon.com/images/M/MV5BMWNjZWEwNDMtMWE1ZC00MTgwLTk2YzAtYmE0NTkwOWVhMDI0XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Bad Boys II,2003,https://boxd.it/1ZuW,"Action, Comedy, Crime",Michael Bay,"George Gallo, Marianne Wibberley, Cormac Wibberley","Martin Lawrence, Will Smith, Jordi Mollà","English, Spanish, Russian",United States,https://m.media-amazon.com/images/M/MV5BMTVkM2YxODItOGNlMy00NWExLWI2NTgtODEzMmM5NThiM2E2XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Bad Boys for Life,2020,https://boxd.it/15pc,"Action, Comedy, Crime","Adil El Arbi, Bilall Fallah","Peter Craig, Joe Carnahan, Chris Bremner","Will Smith, Martin Lawrence, Vanessa Hudgens","English, Spanish",United States,https://m.media-amazon.com/images/M/MV5BYzM3ZTFmMTUtODAxNy00N2IxLWI2MGMtYTdmMDFhNmZkMDI3XkEyXkFqcGc@._V1_SX300.jpg
2025-02-07,Knives Out,2019,https://boxd.it/jWEA,"Comedy, Crime, Drama",Rian Johnson,Rian Johnson,"Daniel Craig, Chris Evans, Ana de Armas",English,United States,https://m.media-amazon.com/images/M/MV5BZDU5ZTRkYmItZjg0Mi00ZTQwLThjMWItNWM3MTMxMzVjZmVjXkEyXkFqcGc@._V1_SX300.jpg
2025-02-15,Dallas Buyers Club,2013,https://boxd.it/4O8G,"Biography, Drama",Jean-Marc Vallée,"Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto","English, Japanese",United States,https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg
2025-02-16,The Others,2001,https://boxd.it/27Po,"Horror, Mystery, Thriller",Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan",English,"Spain, France, United States",https://m.media-amazon.com/images/M/MV5BZTNhODBkODAtNDllYy00YTg1LWJmNDUtYjgzMzEzOWQ0YWNjXkEyXkFqcGc@._V1_SX300.jpg
2025-02-16,They Live,1988,https://boxd.it/20lm,"Action, Horror, Sci-Fi",John Carpenter,"Ray Nelson, John Carpenter","Roddy Piper, Keith David, Meg Foster",English,United States,https://m.media-amazon.com/images/M/MV5BMTQ3MjM3ODU1NV5BMl5BanBnXkFtZTgwMjU3NDU2MTE@._V1_SX300.jpg
2025-02-17,Halloween,1978,https://boxd.it/2wRu,"Horror, Thriller",John Carpenter,"John Carpenter, Debra Hill","Donald Pleasence, Jamie Lee Curtis, Tony Moran",English,United States,https://m.media-amazon.com/images/M/MV5BMzZiNTdiYTgtYjNkMS00MmJmLWEwZGQtNmY0NGJkMGE0YmYzXkEyXkFqcGc@._V1_SX300.jpg
2025-02-21,Under the Silver Lake,2018,https://boxd.it/dSAs,"Crime, Horror, Mystery",David Robert Mitchell,David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace",English,United States,https://m.media-amazon.com/images/M/MV5BMTMzN2JkZDAtYjgyMy00M2QxLWE2NWItNTEyZGVlNTgyYTViXkEyXkFqcGc@._V1_SX300.jpg
2025-02-25,Midnight in Paris,2011,https://boxd.it/i4a,"Comedy, Fantasy, Romance",Woody Allen,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates","English, French, Spanish, German","Spain, United States, France",https://m.media-amazon.com/images/M/MV5BMTM4NjY1MDQwMl5BMl5BanBnXkFtZTcwNTI3Njg3NA@@._V1_SX300.jpg
